Selection,View,Channel,begin_time_s,end_time_s,low_freq_hz,high_freq_hz,delta_time_s,call_type,selection_fpath,file_id,channel_is_one,NestID,Site,Date,Time,Model,Stage,NestAge,NestlingAge,Trial,Weather,wav_fpath,wav_fname,has_wav,has_metadata
1,Spectrogram 1,1,0.08467783,0.779036033,3664.1,22076.3,0.6944,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
2,Spectrogram 1,1,1.693556593,2.438721493,2931.3,19877.9,0.7452,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
20,Spectrogram 1,1,2.648722619,2.919691674,3669.6,15732.9,0.271,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
60,Spectrogram 1,1,2.919691566,3.370177619,4055.7,6250.5,0.4505,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
32,Spectrogram 1,1,3.610662656,3.715663164,1138.8,6369.1,0.105,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
21,Spectrogram 1,1,4.718248862,5.077282859,3205.6,16998.2,0.359,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
3,Spectrogram 1,1,5.890190055,6.733581238,2748.1,22351.1,0.8434,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
4,Spectrogram 1,1,8.342460648,9.077464209,2748.1,22717.6,0.735,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
33,Spectrogram 1,1,9.057141653,9.158755048,2235.5,8351.5,0.1016,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
34,Spectrogram 1,1,9.189239067,9.314562255,2109.0,8520.2,0.1253,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
