,file,start_time,end_time,Cheer,A,Check,B,K,C,Chits,D,J,G,E
0,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,0,False,False,0
1,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,3.0,6.0,False,0,False,False,False,0,False,0,False,False,0
2,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,6.0,9.0,False,0,False,False,False,0,False,0,False,False,0
3,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,9.0,12.0,False,0,False,False,False,0,False,0,False,False,0
4,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,0
5,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,0,False,False,0
6,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,18.0,21.0,False,0,False,False,False,0,False,0,False,False,0
7,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,21.0,24.0,False,0,True,False,False,0,False,0,False,False,0
8,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,24.0,27.0,False,0,False,False,False,0,False,0,False,False,0
9,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,27.0,30.0,False,0,False,False,False,0,False,0,False,False,0
10,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,30.0,33.0,False,0,False,False,False,0,False,0,False,False,0
11,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,33.0,36.0,False,0,False,False,False,0,False,0,False,False,0
12,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,36.0,39.0,False,0,False,False,False,0,False,0,False,False,0
13,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,39.0,42.0,False,0,False,False,False,0,False,0,False,False,0
14,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,42.0,45.0,False,0,False,False,False,0,False,0,False,False,0
