epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.8559,3.34555,6.9678,0.03367,0,0,0,0,4.14609,4.33427,0.08883,0.000435,0.000145,0.000435,0.000145,0.000435,0.000145,0.000435,0.000145
2,48.5597,2.85854,6.35087,0.02632,0.01786,0.00017,0.00918,0.00365,2.79755,4.16647,0.04777,0.000879159,0.000293053,0.000879159,0.000293053,0.000879159,0.000293053,0.000879159,0.000293053
3,56.491,2.39872,5.94572,0.02061,0.00672,0.06673,0.00562,0.00207,2.31098,4.03212,0.03488,0.00131738,0.000439126,0.00131738,0.000439126,0.00131738,0.000439126,0.00131738,0.000439126
4,64.4806,2.04606,5.45901,0.01616,0.00457,0.19861,0.01165,0.00474,2.09723,3.59004,0.03066,0.0014703,0.0004901,0.0014703,0.0004901,0.0014703,0.0004901,0.0014703,0.0004901
5,72.656,1.92098,5.02327,0.01492,0.94589,0.01552,0.03071,0.01654,2.07556,3.37256,0.03294,0.0014604,0.0004868,0.0014604,0.0004868,0.0014604,0.0004868,0.0014604,0.0004868
6,80.905,1.83156,4.71653,0.01426,0.92144,0.02593,0.04484,0.02363,1.87055,3.08483,0.03117,0.0014505,0.0004835,0.0014505,0.0004835,0.0014505,0.0004835,0.0014505,0.0004835
7,89.062,1.7545,4.50474,0.01359,0.91408,0.0498,0.05641,0.02732,1.87862,2.97438,0.03288,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802
8,97.2304,1.74683,4.27558,0.01337,0.91406,0.05736,0.07402,0.03666,1.77881,2.87865,0.03077,0.0014307,0.0004769,0.0014307,0.0004769,0.0014307,0.0004769,0.0014307,0.0004769
9,105.443,1.68481,4.13007,0.01288,0.91706,0.06269,0.07794,0.04216,1.71157,2.78255,0.02812,0.0014208,0.0004736,0.0014208,0.0004736,0.0014208,0.0004736,0.0014208,0.0004736
10,113.481,1.65042,4.02269,0.01238,0.91967,0.06625,0.08002,0.04331,1.68574,2.70036,0.02659,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703
11,122.128,1.65567,3.92152,0.01207,0.79063,0.09105,0.08503,0.04577,1.66872,2.65582,0.02672,0.001401,0.000467,0.001401,0.000467,0.001401,0.000467,0.001401,0.000467
12,130.692,1.62645,3.85896,0.01169,0.76575,0.09561,0.09605,0.05135,1.64293,2.62471,0.02494,0.0013911,0.0004637,0.0013911,0.0004637,0.0013911,0.0004637,0.0013911,0.0004637
13,139.138,1.62134,3.68746,0.01173,0.78018,0.09349,0.09874,0.05234,1.62669,2.60245,0.02432,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604
14,147.525,1.56831,3.65778,0.01112,0.78138,0.09784,0.10527,0.05407,1.67271,2.59705,0.02412,0.0013713,0.0004571,0.0013713,0.0004571,0.0013713,0.0004571,0.0013713,0.0004571
15,155.714,1.56835,3.56611,0.01101,0.76968,0.1046,0.10202,0.05401,1.61165,2.55581,0.0235,0.0013614,0.0004538,0.0013614,0.0004538,0.0013614,0.0004538,0.0013614,0.0004538
16,163.933,1.55701,3.55254,0.01075,0.77702,0.09718,0.10142,0.05436,1.5855,2.52882,0.02292,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
17,172.116,1.53787,3.50318,0.01061,0.78109,0.11355,0.106,0.05703,1.55228,2.52286,0.02212,0.0013416,0.0004472,0.0013416,0.0004472,0.0013416,0.0004472,0.0013416,0.0004472
18,180.314,1.54463,3.33738,0.01083,0.77059,0.10608,0.10835,0.05821,1.55831,2.49687,0.02191,0.0013317,0.0004439,0.0013317,0.0004439,0.0013317,0.0004439,0.0013317,0.0004439
19,188.358,1.51582,3.37789,0.01025,0.77572,0.10488,0.11,0.0593,1.58182,2.5343,0.02216,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
20,196.789,1.49316,3.33649,0.00983,0.81617,0.11176,0.10533,0.05722,1.55738,2.50952,0.02138,0.0013119,0.0004373,0.0013119,0.0004373,0.0013119,0.0004373,0.0013119,0.0004373
21,205.418,1.51192,3.30289,0.01018,0.76484,0.11478,0.10129,0.05546,1.57048,2.51565,0.02126,0.001302,0.000434,0.001302,0.000434,0.001302,0.000434,0.001302,0.000434
22,213.447,1.49467,3.24167,0.00977,0.76818,0.12102,0.10538,0.05705,1.57083,2.50362,0.02241,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307,0.0012921,0.0004307
23,221.626,1.49473,3.1837,0.01004,0.83977,0.09994,0.11085,0.05973,1.54733,2.48887,0.02091,0.0012822,0.0004274,0.0012822,0.0004274,0.0012822,0.0004274,0.0012822,0.0004274
24,229.737,1.46748,3.18891,0.00954,0.81155,0.09942,0.10895,0.05961,1.53648,2.47286,0.0203,0.0012723,0.0004241,0.0012723,0.0004241,0.0012723,0.0004241,0.0012723,0.0004241
25,237.799,1.47221,3.11594,0.00932,0.80217,0.12289,0.11203,0.06262,1.56752,2.47662,0.02052,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208,0.0012624,0.0004208
26,245.906,1.49207,3.0595,0.00994,0.74643,0.12584,0.11985,0.06708,1.5572,2.41637,0.02031,0.0012525,0.0004175,0.0012525,0.0004175,0.0012525,0.0004175,0.0012525,0.0004175
27,253.952,1.47406,3.05666,0.00965,0.72984,0.12882,0.1167,0.06364,1.57585,2.40507,0.02033,0.0012426,0.0004142,0.0012426,0.0004142,0.0012426,0.0004142,0.0012426,0.0004142
28,261.883,1.47257,3.01048,0.00976,0.65836,0.12868,0.12483,0.06908,1.59308,2.42874,0.02028,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109,0.0012327,0.0004109
29,269.929,1.46277,2.99209,0.00918,0.5147,0.13392,0.12657,0.07284,1.5796,2.43319,0.01971,0.0012228,0.0004076,0.0012228,0.0004076,0.0012228,0.0004076,0.0012228,0.0004076
