epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.9533,3.45621,12.4528,0.03318,0.00191,0.08122,0.00121,0.00032,3.10037,3.96482,0.05069,0.000495798,0.000165266,0.000495798,0.000165266,0.000495798,0.000165266,0.000495798,0.000165266
2,78.8344,2.65013,10.4953,0.02325,0.00295,0.17296,0.01271,0.00445,2.46059,3.7663,0.03646,0.000990869,0.00033029,0.000990869,0.00033029,0.000990869,0.00033029,0.000990869,0.00033029
3,99.1179,2.19448,9.46239,0.01733,0.00316,0.17647,0.01566,0.00696,2.21602,3.62285,0.03369,0.00148099,0.000493663,0.00148099,0.000493663,0.00148099,0.000493663,0.00148099,0.000493663
4,119.189,2.0539,8.80571,0.01651,0.93046,0.02257,0.02081,0.01004,2.05238,3.53537,0.02903,0.00147773,0.000492575,0.00147773,0.000492575,0.00147773,0.000492575,0.00147773,0.000492575
5,138.998,1.89971,8.25204,0.01369,0.93243,0.02593,0.03082,0.01435,1.9031,3.54875,0.02639,0.0014703,0.0004901,0.0014703,0.0004901,0.0014703,0.0004901,0.0014703,0.0004901
6,158.884,1.8438,8.09117,0.01362,0.93639,0.02776,0.05896,0.02895,1.83218,3.30457,0.02491,0.00146287,0.000487625,0.00146287,0.000487625,0.00146287,0.000487625,0.00146287,0.000487625
7,178.807,1.76726,7.56366,0.01247,0.92233,0.04881,0.06632,0.03448,1.77796,3.21449,0.02267,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515,0.00145545,0.00048515
8,198.799,1.76581,7.32274,0.01228,0.88958,0.0651,0.07902,0.04131,1.73404,3.06586,0.02133,0.00144802,0.000482675,0.00144802,0.000482675,0.00144802,0.000482675,0.00144802,0.000482675
9,218.688,1.72436,6.9963,0.01177,0.89392,0.07169,0.10028,0.05241,1.64805,2.98326,0.01973,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802
10,238.686,1.69707,6.9178,0.01196,0.89826,0.07732,0.10882,0.05843,1.62561,2.93105,0.01993,0.00143317,0.000477725,0.00143317,0.000477725,0.00143317,0.000477725,0.00143317,0.000477725
11,258.412,1.66927,6.70778,0.01128,0.90354,0.07914,0.1149,0.06026,1.64115,2.91193,0.02054,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525,0.00142575,0.00047525
12,278.462,1.65512,6.61516,0.01129,0.89909,0.0792,0.11979,0.06385,1.61381,2.8374,0.01908,0.00141833,0.000472775,0.00141833,0.000472775,0.00141833,0.000472775,0.00141833,0.000472775
13,298.857,1.61135,6.41877,0.01054,0.89372,0.08799,0.14145,0.07398,1.56495,2.86172,0.0185,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703,0.0014109,0.0004703
14,319.021,1.62691,6.14841,0.01062,0.89942,0.08568,0.15184,0.08041,1.55239,2.76108,0.0182,0.00140348,0.000467825,0.00140348,0.000467825,0.00140348,0.000467825,0.00140348,0.000467825
15,339.15,1.60555,6.01985,0.01025,0.89932,0.0836,0.16766,0.0879,1.55947,2.7686,0.01775,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535,0.00139605,0.00046535
16,359.197,1.58787,5.92257,0.01056,0.82025,0.13723,0.16495,0.08577,1.59348,2.61981,0.01895,0.00138863,0.000462875,0.00138863,0.000462875,0.00138863,0.000462875,0.00138863,0.000462875
17,379.015,1.59932,5.77842,0.01058,0.69689,0.13737,0.17035,0.09203,1.58352,2.60845,0.01848,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604,0.0013812,0.0004604
18,399.149,1.58881,5.53072,0.01031,0.70865,0.14242,0.17983,0.09751,1.55938,2.57485,0.01757,0.00137378,0.000457925,0.00137378,0.000457925,0.00137378,0.000457925,0.00137378,0.000457925
19,418.998,1.58472,5.51562,0.01,0.67901,0.14448,0.18229,0.0968,1.54111,2.57325,0.01742,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545,0.00136635,0.00045545
20,438.939,1.57817,5.34926,0.00999,0.67177,0.15024,0.17926,0.0974,1.56545,2.52941,0.01746,0.00135892,0.000452975,0.00135892,0.000452975,0.00135892,0.000452975,0.00135892,0.000452975
21,458.976,1.5698,5.29075,0.00995,0.42635,0.16938,0.18071,0.0979,1.57174,2.54226,0.01773,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505,0.0013515,0.0004505
22,478.97,1.57004,5.19999,0.00993,0.50849,0.1923,0.18995,0.10278,1.55801,2.51745,0.01807,0.00134408,0.000448025,0.00134408,0.000448025,0.00134408,0.000448025,0.00134408,0.000448025
23,499.06,1.54609,5.12575,0.01017,0.37941,0.20249,0.19884,0.1105,1.57611,2.4492,0.01784,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555,0.00133665,0.00044555
24,519.36,1.5768,5.033,0.01004,0.39071,0.19013,0.1981,0.11169,1.5939,2.44165,0.01755,0.00132923,0.000443075,0.00132923,0.000443075,0.00132923,0.000443075,0.00132923,0.000443075
25,539.491,1.53446,4.76704,0.0095,0.42993,0.21847,0.20606,0.12055,1.60753,2.45298,0.01745,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406,0.0013218,0.0004406
