epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.2491,1.18488,2.02483,0.01364,0.8952,0.65549,0.90252,0.66751,1.58802,0.91101,0.01153,0,0,0,0,0,0,0,0
2,16.6279,0.87465,3.32058,0.01329,0.89963,0.65431,0.90259,0.66834,1.58012,0.90633,0.01154,3.53466e-06,1.17822e-06,3.53466e-06,1.17822e-06,3.53466e-06,1.17822e-06,3.53466e-06,1.17822e-06
3,17.2083,1.63192,3.65184,0.02616,0.88207,0.66159,0.9062,0.66753,1.58848,0.90206,0.01163,6.99863e-06,2.33288e-06,6.99863e-06,2.33288e-06,6.99863e-06,2.33288e-06,6.99863e-06,2.33288e-06
4,17.9108,1.23301,2.45773,0.0142,0.86755,0.67178,0.90622,0.66643,1.5903,0.9057,0.01158,1.03919e-05,3.46397e-06,1.03919e-05,3.46397e-06,1.03919e-05,3.46397e-06,1.03919e-05,3.46397e-06
5,18.5509,1.56658,2.90547,0.0256,0.88387,0.66402,0.90615,0.67484,1.58651,0.90927,0.01147,1.37145e-05,4.5715e-06,1.37145e-05,4.5715e-06,1.37145e-05,4.5715e-06,1.37145e-05,4.5715e-06
6,19.201,1.18426,2.85223,0.01509,0.83453,0.68476,0.90221,0.65774,1.62699,0.9065,0.01193,1.69664e-05,5.65548e-06,1.69664e-05,5.65548e-06,1.69664e-05,5.65548e-06,1.69664e-05,5.65548e-06
7,19.8339,1.53661,3.60909,0.02464,0.84502,0.68417,0.90222,0.66183,1.62438,0.90837,0.01192,2.01477e-05,6.71588e-06,2.01477e-05,6.71588e-06,2.01477e-05,6.71588e-06,2.01477e-05,6.71588e-06
8,20.4609,1.49501,4.07021,0.03587,0.84998,0.68059,0.90406,0.66444,1.62487,0.91129,0.01197,2.32582e-05,7.75273e-06,2.32582e-05,7.75273e-06,2.32582e-05,7.75273e-06,2.32582e-05,7.75273e-06
9,21.0987,1.73834,3.4297,0.01633,0.97614,0.6203,0.90408,0.66158,1.59212,1.02024,0.01162,2.6298e-05,8.76602e-06,2.6298e-05,8.76602e-06,2.6298e-05,8.76602e-06,2.6298e-05,8.76602e-06
10,21.749,1.21818,2.4941,0.02027,0.84559,0.67697,0.90417,0.66143,1.58882,0.9864,0.01158,2.92672e-05,9.75574e-06,2.92672e-05,9.75574e-06,2.92672e-05,9.75574e-06,2.92672e-05,9.75574e-06
11,22.3794,0.89382,2.48976,0.01177,0.85334,0.67491,0.90417,0.66114,1.58424,0.98239,0.01155,3.21657e-05,1.07219e-05,3.21657e-05,1.07219e-05,3.21657e-05,1.07219e-05,3.21657e-05,1.07219e-05
12,23.1596,1.26342,2.87122,0.01623,0.84688,0.67574,0.90822,0.65948,1.58981,0.9871,0.0115,3.49935e-05,1.16645e-05,3.49935e-05,1.16645e-05,3.49935e-05,1.16645e-05,3.49935e-05,1.16645e-05
13,23.7895,1.14041,2.65077,0.01509,0.85458,0.67228,0.9081,0.67607,1.563,1.02394,0.01137,3.77506e-05,1.25835e-05,3.77506e-05,1.25835e-05,3.77506e-05,1.25835e-05,3.77506e-05,1.25835e-05
14,24.4428,1.20082,2.82653,0.01496,0.85795,0.6715,0.89012,0.66891,1.56536,1.03263,0.01135,4.0437e-05,1.3479e-05,4.0437e-05,1.3479e-05,4.0437e-05,1.3479e-05,4.0437e-05,1.3479e-05
15,25.0696,1.36626,2.64474,0.02297,0.85921,0.67076,0.89007,0.68562,1.56662,1.03602,0.01134,4.30528e-05,1.43509e-05,4.30528e-05,1.43509e-05,4.30528e-05,1.43509e-05,4.30528e-05,1.43509e-05
16,25.716,1.33256,2.28359,0.0172,0.86257,0.67085,0.89002,0.68545,1.56161,1.03798,0.01123,4.55978e-05,1.51993e-05,4.55978e-05,1.51993e-05,4.55978e-05,1.51993e-05,4.55978e-05,1.51993e-05
17,26.3483,1.35849,3.22692,0.02184,0.8702,0.66939,0.88556,0.68353,1.5642,1.07131,0.0113,4.80722e-05,1.60241e-05,4.80722e-05,1.60241e-05,4.80722e-05,1.60241e-05,4.80722e-05,1.60241e-05
18,26.7739,1.22092,3.54629,0.02217,0.8702,0.66939,0.88556,0.68353,1.5642,1.07131,0.0113,5.04759e-05,1.68253e-05,5.04759e-05,1.68253e-05,5.04759e-05,1.68253e-05,5.04759e-05,1.68253e-05
19,27.4215,1.2243,3.01777,0.02316,0.87133,0.68022,0.88899,0.66143,1.57321,1.06406,0.01158,5.28089e-05,1.7603e-05,5.28089e-05,1.7603e-05,5.28089e-05,1.7603e-05,5.28089e-05,1.7603e-05
20,28.0385,1.86744,3.74304,0.02351,0.87133,0.68022,0.88899,0.66143,1.57321,1.06406,0.01158,5.50712e-05,1.83571e-05,5.50712e-05,1.83571e-05,5.50712e-05,1.83571e-05,5.50712e-05,1.83571e-05
21,28.6701,1.29202,2.93577,0.02363,0.87326,0.66943,0.88777,0.67355,1.57538,1.06817,0.01135,5.72628e-05,1.90876e-05,5.72628e-05,1.90876e-05,5.72628e-05,1.90876e-05,5.72628e-05,1.90876e-05
22,29.0903,1.14549,3.57519,0.02072,0.87326,0.66943,0.88777,0.67355,1.57538,1.06817,0.01135,5.93837e-05,1.97946e-05,5.93837e-05,1.97946e-05,5.93837e-05,1.97946e-05,5.93837e-05,1.97946e-05
23,29.718,1.15611,2.48873,0.02012,0.8848,0.6653,0.88533,0.68002,1.5734,1.10037,0.01121,6.1434e-05,2.0478e-05,6.1434e-05,2.0478e-05,6.1434e-05,2.0478e-05,6.1434e-05,2.0478e-05
24,30.1384,0.85965,2.03181,0.01074,0.8848,0.6653,0.88533,0.68002,1.5734,1.10037,0.01121,6.34136e-05,2.11379e-05,6.34136e-05,2.11379e-05,6.34136e-05,2.11379e-05,6.34136e-05,2.11379e-05
